codecommune;NSCOL15P;DIPLMIN;BEPC;CAPBEP;BAC;SUP2;SUP34;SUP5
82093;509;174;35;127;65;57;30;21
82094;1201;393;80;261;194;97;121;54
82095;172;42;11;39;49;12;13;5
82096;2277;573;151;706;442;191;124;90
82097;1326;612;72;309;168;84;57;24
82098;930;128;59;238;195;129;106;75
82099;380;115;20;117;53;37;24;14
82100;119;26;2;45;27;8;7;4
82101;856;257;48;272;152;66;36;26
82102;219;69;20;65;29;17;9;10
82103;90;9;2;33;24;10;10;1
82104;144;33;6;40;25;9;18;14
82105;931;210;47;238;192;120;84;40
82106;118;28;9;23;16;21;13;8
82107;32;7;1;13;5;3;4;0
82108;983;242;59;294;172;105;68;43
82109;156;30;10;54;26;19;9;8
82110;798;217;48;231;117;94;63;28
82111;252;88;8;75;35;17;20;8
82112;9665;3453;682;2298;1517;680;603;431
82113;958;334;52;277;155;61;48;30
82114;442;68;28;167;82;53;26;18
82115;1426;335;77;449;255;148;106;56
82116;161;36;9;54;14;21;21;6
82117;1092;309;94;293;168;88;82;58
82118;83;16;6;28;13;6;7;6
82119;515;122;34;158;94;67;23;17
82120;229;42;13;59;50;27;23;15
82121;45243;10573;2961;10098;8013;5291;4651;3655
82122;147;41;12;38;32;11;4;9
82123;952;198;55;280;187;115;75;43
82124;3028;753;186;841;562;363;211;111
82125;4561;989;285;1214;808;570;439;256
82126;1051;206;70;359;185;112;73;44
82127;605;154;37;162;118;61;50;24
82128;85;18;4;28;14;10;9;2
82129;106;18;6;42;17;7;10;6
82130;148;29;7;30;30;13;24;16
82131;1250;361;95;331;205;103;97;58
82132;884;239;44;226;161;94;67;54
82133;71;18;7;16;11;10;7;3
82134;4199;1216;299;1135;750;378;263;158
82135;989;256;47;308;176;104;58;38
82136;1154;260;65;369;214;133;70;44
82137;479;128;36;112;87;37;43;38
82138;110;18;11;30;24;14;6;7
82139;103;31;8;31;16;7;5;5
82140;315;70;8;91;57;54;27;8
82141;422;130;51;117;66;32;17;9
82142;1012;171;54;281;195;157;82;72
82143;70;15;3;21;14;6;8;3
82144;542;134;32;156;100;58;43;20
82145;293;70;22;79;57;35;16;13
82146;54;15;0;21;7;5;2;5
82147;273;75;16;82;48;18;22;10
82148;555;119;48;146;112;51;55;24
82149;1431;407;99;396;252;154;72;50
82150;657;120;34;169;134;104;64;34
82151;342;77;22;85;55;40;44;19
82152;325;91;20;103;55;27;19;10
82153;162;36;13;42;36;20;9;6
82154;179;36;11;46;49;17;12;8
82155;1501;355;111;373;261;122;162;118
82156;118;29;11;35;22;12;5;4
82157;80;18;6;16;20;11;5;6
82158;127;31;6;46;17;10;12;4
