CodeCommune;NSCOL15P;DIPLMIN;BEPC;CAPBEP;BAC;SUP2;SUP34;SUP5
64374;852;112;26;245;187;127;84;72
64375;205;25;5;76;36;38;14;12
64376;705;126;42;198;118;94;67;60
64377;600;124;37;184;110;73;44;28
64378;157;21;7;59;33;21;10;7
64379;120;30;7;37;24;11;7;5
64380;178;25;6;61;25;29;18;14
64381;239;60;7;80;43;27;9;13
64382;267;59;8;93;46;25;18;19
64383;97;19;5;25;13;17;9;8
64385;194;25;7;48;49;33;17;16
64386;955;135;49;299;177;121;90;84
64387;419;59;21;106;102;71;38;22
64388;87;23;2;27;14;10;5;6
64389;267;40;16;89;55;31;20;17
64390;125;27;11;31;26;15;7;10
64391;239;46;15;81;49;21;14;11
64392;71;15;4;30;13;6;3;1
64393;3439;457;182;965;643;516;365;311
64394;69;20;2;21;13;8;6;1
64395;102;22;7;30;22;8;7;7
64396;819;107;37;310;191;108;37;29
64397;93;27;3;27;13;10;10;4
64398;363;61;16;111;84;40;32;19
64399;1712;153;72;418;319;276;200;273
64400;849;112;43;275;169;116;65;70
64401;62;8;2;24;19;3;3;4
64403;134;22;10;45;21;19;9;8
64404;258;44;17;104;46;23;13;11
64405;3262;394;163;853;595;451;374;432
64406;459;78;13;119;87;85;41;36
64407;4013;477;160;1152;797;578;416;433
64408;48;7;0;17;19;3;0;2
64409;631;67;44;224;120;80;59;38
64410;4608;1454;253;1555;756;317;181;92
64411;170;30;9;44;26;38;16;6
64412;72;22;3;29;6;5;3;5
64413;539;52;21;146;86;109;60;64
64414;101;23;3;23;25;13;9;5
64415;1129;132;54;367;221;147;111;96
64416;859;158;59;242;141;91;74;94
64417;2605;451;133;708;475;322;265;251
64418;103;17;7;44;18;10;3;5
64419;1092;86;43;272;199;199;153;139
64420;188;21;7;66;28;38;14;14
64421;984;128;44;342;196;115;96;63
64422;8740;1816;499;2585;1657;880;760;543
64423;137;32;13;55;12;10;7;8
64424;435;89;12;147;80;59;29;18
64425;382;63;19;122;89;41;22;26
64426;199;30;7;87;32;24;13;8
64427;129;22;3;50;19;19;10;6
64428;118;28;6;38;22;7;10;8
64429;81;5;3;32;16;17;2;6
64430;8509;1865;562;2538;1482;810;715;538
64431;405;77;14;175;72;36;20;10
64432;67;10;5;22;8;7;9;8
64433;297;92;11;52;44;45;27;26
64434;38;8;6;4;7;1;6;5
64435;170;26;6;54;26;28;20;10
64436;649;113;26;185;133;83;60;48
64437;173;26;7;54;35;18;18;14
64438;398;42;8;90;72;89;50;48
64439;1196;118;51;331;211;175;141;170
64440;309;38;19;97;67;35;31;23
64441;192;33;5;54;46;26;19;10
64442;225;27;6;55;62;33;23;19
64443;738;144;29;260;128;91;52;34
64444;334;56;8;74;52;52;48;43
64445;55983;10204;2974;11686;10080;6073;6462;8504
64446;121;14;2;33;26;14;22;9
64447;109;23;4;41;17;13;7;5
64448;1346;133;63;363;292;206;165;124
64449;130;29;3;46;28;13;10;0
64450;200;24;8;70;47;29;15;7
64451;73;14;2;18;13;13;4;8
64452;202;28;5;61;41;35;22;9
64453;2259;455;146;688;417;220;175;157
64454;121;18;7;37;23;20;11;4
64455;142;33;9;39;25;18;11;7
64456;39;4;2;10;11;8;1;5
64457;147;29;7;47;29;22;8;6
64458;232;46;8;77;43;31;19;9
64459;131;23;3;40;30;20;4;10
64460;307;39;17;88;66;39;31;27
64461;856;206;50;271;159;87;50;32
64462;373;83;19;129;67;38;24;13
64463;495;56;25;167;80;82;44;42
64464;64;16;2;27;10;7;2;1
64465;167;19;12;40;39;22;21;16
64466;213;50;7;75;42;12;13;12
64467;673;127;23;170;115;97;66;76
64468;94;23;7;29;20;6;5;4
64469;252;25;17;78;43;33;36;20
64470;469;45;24;149;84;78;49;41
64471;282;37;17;92;49;42;27;19
64472;615;61;24;173;114;99;70;74
64473;273;36;17;75;51;42;32;21
64474;122;16;6;33;33;21;6;9
64475;159;50;14;43;25;16;8;3
64476;317;54;14;89;68;37;25;29
64477;1217;209;54;354;224;134;138;105
64478;560;58;20;147;85;90;68;90
64479;136;10;4;40;33;20;14;14
64480;145;25;7;42;21;27;11;12
64481;182;30;9;67;28;30;8;10
64482;493;101;17;107;81;86;46;55
64483;11977;2232;848;2717;2223;1344;1333;1279
64484;714;100;39;248;120;110;56;39
64485;1236;253;103;280;213;151;119;117
