CodeCommune;NomCommune;Pop2017;Pop2022
39286;Lavans-lès-Saint-Claude;2437;2342
39288;Lavigny;378;383
39289;Lect;354;334
39291;Lemuy;238;239
39292;Lent;150;137
39293;Leschères;209;203
39295;Loisia;166;146
39296;Lombard;211;211
39297;Longchaumois;1167;1133
39298;Longcochon;63;58
39299;Longwy-sur-le-Doubs;505;493
39300;Lons-le-Saunier;17291;16942
39301;Loulle;172;173
39302;Louvatange;97;110
39304;Le Louverot;211;232
39305;La Loye;551;537
39306;Macornay;974;1027
39307;Maisod;329;325
39308;Malange;321;319
39310;Mantry;454;472
39312;Marigna-sur-Valouse;116;107
39313;Marigny;207;215
39314;Marnézia;90;68
39315;Marnoz;404;379
39317;La Marre;338;358
39318;Martigna;194;207
39319;Mathenay;143;145
39320;Maynal;338;328
39321;Menétru-le-Vignoble;159;164
39322;Menétrux-en-Joux;56;74
39323;Menotey;306;301
39324;Mérona;8;8
39325;Mesnay;583;577
39326;Mesnois;187;168
39327;Messia-sur-Sorne;842;891
39328;Meussia;420;439
39329;Mièges;166;165
39330;Miéry;152;139
39331;Mignovillard;819;882
39333;Moirans-en-Montagne;2099;2121
39334;Moiron;130;133
39335;Moissey;563;565
39336;Molain;105;110
39337;Molamboz;90;88
39338;Molay;501;506
39342;Monay;124;124
39344;Monnet-la-Ville;343;332
39343;Monnetay;14;16
39345;Monnières;422;390
39365;Mont-sous-Vaudrey;1265;1302
39366;Mont-sur-Monnet;248;203
39346;Montagna-le-Reconduit;119;109
39348;Montaigu;437;421
39349;Montain;509;484
39350;Montbarrey;317;306
39351;Montcusel;156;145
39352;Monteplain;132;148
39353;Montfleur;182;164
39354;Montholier;359;369
39355;Montigny-lès-Arsures;254;234
39356;Montigny-sur-l'Ain;199;214
39273;Montlainsia;246;212
39359;Montmarlon;31;33
39360;Montmirey-la-Ville;176;170
39361;Montmirey-le-Château;197;197
39362;Montmorot;3036;3207
39363;Montrevel;90;83
39364;Montrond;492;483
39367;Morbier;2292;2371
39370;Mouchard;1101;1094
39372;Mournans-Charbonny;89;82
39373;Les Moussières;167;159
39375;Moutonne;132;129
39376;Moutoux;72;76
39377;Mutigney;171;175
39379;Nance;519;538
39130;Nanchez;806;761
39380;Nancuise;46;41
39381;Les Nans;91;98
39385;Neublans-Abergement;545;549
39386;Neuvilley;87;90
39387;Nevy-lès-Dole;281;290
39388;Nevy-sur-Seille;205;197
39389;Ney;574;597
39390;Nogna;295;304
39391;Nozeroy;437;396
39392;Offlanges;198;194
39393;Onglières;65;64
39394;Onoz;72;71
39396;Orchamps;1121;1048
39397;Orgelet;1596;1571
39398;Ougney;375;419
39399;Ounans;369;330
39400;Our;140;148
39401;Oussières;233;237
39402;Pagney;324;385
39403;Pagnoz;230;217
39404;Pannessières;483;448
39405;Parcey;974;1023
39406;Le Pasquier;251;285
39407;Passenans;345;336
39408;Patornay;140;154
39409;Peintre;127;134
39411;Perrigny;1523;1535
39412;Peseux;320;295
39413;La Pesse;343;332
39415;Petit-Noir;1093;1063
39418;Picarreau;101;101
39419;Pillemoine;58;62
39420;Pimorin;198;204
39421;Le Pin;241;237
39422;Plainoiseau;528;509
39423;Plaisia;107;99
39424;Les Planches-en-Montagne;164;156
39425;Les Planches-près-Arbois;96;86
39426;Plasne;218;201
39427;Plénise;62;63
39428;Plénisette;25;21
39429;Pleure;429;437
39430;Plumont;103;105
39431;Poids-de-Fiole;333;329
39432;Pointre;126;126
39434;Poligny;4047;4007
39436;Pont-d'Héry;234;243
39435;Pont-de-Poitte;647;626
39437;Pont-du-Navoy;275;275
39439;Port-Lesney;526;539
39441;Prémanon;1188;1244
39443;Présilly;132;114
39444;Pretin;61;52
39445;Publy;285;276
39446;Pupillin;237;245
39447;Quintigny;248;297
39448;Rahon;508;450
39449;Rainans;269;265
39451;Ranchot;495;507
39452;Rans;535;529
39453;Ravilloles;476;444
39454;Recanoz;90;94
39455;Reithouse;59;53
39456;Relans;341;348
39457;Les Repôts;52;55
39458;Revigny;248;236
39461;Rix;78;77
39460;La Rixouse;193;187
39462;Rochefort-sur-Nenon;679;692
39463;Rogna;227;236
39464;Romain;204;237
39465;Romange;199;214
39466;Rosay;125;119
39467;Rotalier;161;151
